id,school,year,county,district,funding,immune,enrollments,proportion
6042485,RIPONA ELEM.,2011,San Joaquin,Ripon Unified,Public,51,56,0.910714286
6017149,FORTY-NINTH STREET EL,2008,Los Angeles,Los Angeles Unified,Public,152,153,0.993464052
1932409,NORMA COOMBS ALT SCH,2004,Los Angeles,Pasadena Unified,Public,12,52,0.230769231
6022115,MADISON ELEM.,2011,Los Angeles,Redondo Beach Unified,Public,71,75,0.946666667
6026397,CASTROVILLE ELEM,2002,Monterey,North Monterey County Unified,Public,95,96,0.989583333
114652,COBBLESTONE ELEMENTARY,2014,Yuba,Plumas Lake Elementary,Public,80,81,0.987654321
6014112,BALDWIN ELEM.,2009,Los Angeles,Hacienda La Puente Unified,Public,100,100,1
6013924,SUTHERLAND ELEM,2004,Los Angeles,Glendora Unified,Public,78,80,0.975
6119598,KING/CHAVEZ ACADEMY O,2007,San Diego,San Diego Unified,Public,18,19,0.947368421
6023519,ORANGEWOOD ELEMENTARY,2014,Los Angeles,West Covina Unified,Public,72,74,0.972972973
6968085,TRINITY LUTHERAN ELEM,2004,Los Angeles,Hawthorne,Private,28,29,0.965517241
6036263,HAWTHORNE ELEM.,2009,San Bernardino,Ontario-montclair,Public,93,94,0.989361702
6055933,CONEJO ELEM.,2008,Ventura,Conejo Valley Unified,Public,76,90,0.844444444
6030829,HAYDEN (JESSIE) ELEM.,2010,Orange,Westminster,Public,134,175,0.765714286
6108187,LOUDON (ROY W.) ELEM.,2012,Kern,Panama-buena Vista Union,Public,118,124,0.951612903
109280,AMANECER,2006,Los Angeles,Los Angeles Unified,Public,70,73,0.95890411
6036115,VISTA COLORADO ELEM.,2012,San Bernardino,Needles Unified,Public,68,83,0.819277108
6015648,TINCHER PREPARATORY,2014,Los Angeles,Long Beach Unified,Public,87,97,0.896907216
6965297,ST JOHN THE BAPTIST E,2004,Orange,Newport-mesa Unified,Private,62,63,0.984126984
7085210,FOUNDATIONS SCH COMMU,2002,Los Angeles,Los Angeles Unified,Private,14,15,0.933333333
6027833,VESSELS (FRANK) ELEM,2002,Orange,Cypress Elementary,Public,56,58,0.965517241
6115760,LANG RANCH,2006,Ventura,Conejo Valley Unified,Public,109,121,0.900826446
6029730,WESTMONT ELEMENTARY,2015,Orange,Ocean View,Public,53,57,0.929824561
7089956,BOWMAN INTERNATIONAL,2006,Santa Clara,Palo Alto Unified,Private,22,27,0.814814815
6035729,WALTER ZIMMERMAN ELEM,2007,San Bernardino,Colton Joint Unified,Public,112,112,1
6033799,BOWLING GREEN ELEM,2006,Sacramento,Sacramento City Unified,Public,94,97,0.969072165
6054688,CRESTWOOD ELEM.,2010,Tulare,Visalia Unified,Public,93,94,0.989361702
6042709,MONROE ELEM.,2008,San Joaquin,Stockton Unified,Public,59,59,1
6015382,HUDSON ELEM,2007,Los Angeles,Long Beach Unified,Public,88,99,0.888888889
6038657,SAN ALTOS ELEM,2004,San Diego,Lemon Grove,Public,61,62,0.983870968
6003396,FISCHER (HAZEL) ELEM.,2008,Calaveras,Vallecito Union,Public,30,39,0.769230769
6006142,CENTENNIAL ELEM,2004,Fresno,Fresno Unified,Public,110,112,0.982142857
6039887,LINDBERGH SCHWEITZER ELEMENTARY,2014,San Diego,San Diego Unified,Public,80,87,0.91954023
6015721,ALEXANDRIA AVE ELEM,2002,Los Angeles,Los Angeles Unified,Public,296,316,0.936708861
6038707,JACUMBA ELEM,2007,San Diego,Mountain Empire Unified,Public,12,17,0.705882353
7092521,FAIRHAVEN CHRISTIAN A,2004,Los Angeles,Los Angeles Unified,Private,11,11,1
6961130,FIRST LUTHERAN ELEM,2002,Los Angeles,Burbank Unified,Private,18,18,1
6023378,EVERGREEN ELEM,2003,Los Angeles,Walnut Valley Unified,Public,79,79,1
6070833,MURDOCK ELEM,2001,San Diego,La Mesa-spring Valley,Public,93,97,0.958762887
6978860,SACRED HEART SCHOOLS,2010,San Mateo,Menlo Park City Elementary,Private,41,41,1
